Ticker,Correlated_Ticker
AZRM.TA,ELCO.TA
AZRM.TA,SLARL.TA
AZRM.TA,PRSK.TA
AZRM.TA,DIMRI.TA
AZRM.TA,ELCRE.TA
AZRG.TA,MLSR.TA
AZRG.TA,AMOT.TA
AZRG.TA,MVNE.TA
AZRG.TA,BIG.TA
AZRG.TA,ARPT.TA
AZRG.TA,ALHE.TA
AZRG.TA,RIT1.TA
AZRG.TA,SLARL.TA
AZRG.TA,ACRO.TA
AZRG.TA,ASHG.TA
BCOM.TA,BEZQ.TA
BEZQ.TA,BCOM.TA
BIG.TA,MLSR.TA
BIG.TA,MVNE.TA
BIG.TA,AMOT.TA
BIG.TA,AZRG.TA
BIG.TA,SLARL.TA
BIG.TA,ARPT.TA
BIG.TA,ALHE.TA
BIG.TA,RIT1.TA
BIG.TA,ASHG.TA
BIG.TA,MGOR.TA
BOLT.TA,BULL-M.TA
BLSR.TA,SLARL.TA
BLSR.TA,AZRM.TA
BLSR.TA,BIG.TA
BLSR.TA,ILDC.TA
BLSR.TA,RIT1.TA
BLSR.TA,ASHG.TA
BLSR.TA,ISRS.TA
BLSR.TA,MGOR.TA
BLSR.TA,SMT.TA
BLSR.TA,AMOT.TA
BRAM.TA,PTX.TA
BULL-M.TA,BOLT.TA
BULL-M.TA,MYDS.TA
CAMT.TA,PRTC.TA
CAMT.TA,NVMI.TA
CRSR.TA,ASHG.TA
CRSR.TA,DIMRI.TA
CRSR.TA,ISCN.TA
CRSR.TA,PRSK.TA
CRSR.TA,BIG.TA
CRSR.TA,AFRE.TA
CRSR.TA,SLARL.TA
CRSR.TA,ACRO.TA
CRSR.TA,AZRM.TA
CRSR.TA,MNRT.TA
CEL.TA,PTNR.TA
CLIS.TA,MGDL.TA
CLIS.TA,HARL.TA
CLIS.TA,PHOE.TA
CLIS.TA,MMHD.TA
CLIS.TA,BIG.TA
CLIS.TA,FIBI.TA
CLIS.TA,AZRM.TA
CLIS.TA,ELCO.TA
CLIS.TA,FIBIH.TA
CLIS.TA,MLSR.TA
DNYA.TA,ASHG.TA
DNYA.TA,AZRM.TA
DLEKG.TA,NWMD.TA
DIMRI.TA,AZRM.TA
DIMRI.TA,ACRO.TA
DIMRI.TA,MGOR.TA
DIMRI.TA,AFRE.TA
DIMRI.TA,PRSK.TA
DIMRI.TA,ISCN.TA
DIMRI.TA,ASHG.TA
DIMRI.TA,ARPT.TA
DIMRI.TA,HGG.TA
DIMRI.TA,EQTL.TA
DSCT.TA,POLI.TA
DSCT.TA,LUMI.TA
DSCT.TA,MZTF.TA
DSCT.TA,FIBI.TA
DSCT.TA,FIBIH.TA
DSCT.TA,BIG.TA
DSCT.TA,SLARL.TA
DSCT.TA,PHOE.TA
DSCT.TA,MLSR.TA
DSCT.TA,RIT1.TA
DUNI.TA,AZRM.TA
DUNI.TA,SLARL.TA
ELCO.TA,ELTR.TA
ELCO.TA,ASHG.TA
ELCO.TA,AZRM.TA
ELCO.TA,ELCRE.TA
ELCO.TA,BIG.TA
ELCO.TA,PHOE.TA
ELCO.TA,FIBIH.TA
ELCO.TA,MVNE.TA
ELCO.TA,AMOT.TA
ELCO.TA,ILDC.TA
ELTR.TA,ELCO.TA
ELTR.TA,SPEN.TA
ELTR.TA,ASHG.TA
ELTR.TA,ARPT.TA
ELTR.TA,MVNE.TA
ELTR.TA,AMOT.TA
ELTR.TA,PHOE.TA
ELTR.TA,BIG.TA
ELTR.TA,CRSR.TA
ECP.TA,ELCO.TA
ELCRE.TA,AZRM.TA
ELCRE.TA,ELCO.TA
ELCRE.TA,ISCN.TA
ELCRE.TA,ALHE.TA
ELCRE.TA,BIG.TA
ELCRE.TA,ILDC.TA
ELCRE.TA,SLARL.TA
ELCRE.TA,MLSR.TA
ELCRE.TA,MVNE.TA
ELCRE.TA,AMOT.TA
ENRG.TA,ENLT.TA
ENRG.TA,ALHE.TA
ENLT.TA,ENRG.TA
ENLT.TA,ALHE.TA
EQTL.TA,ARPT.TA
EQTL.TA,NFTA.TA
EQTL.TA,ASHG.TA
EQTL.TA,BIG.TA
EQTL.TA,AZRM.TA
EQTL.TA,MGOR.TA
EQTL.TA,ISRS.TA
EQTL.TA,SLARL.TA
EQTL.TA,ILDC.TA
EQTL.TA,DIMRI.TA
FTAL.TA,BIG.TA
FTAL.TA,SLARL.TA
FTAL.TA,MLSR.TA
FTAL.TA,MGDL.TA
FEAT.TA,GFC-M.TA
FIBI.TA,FIBIH.TA
FIBI.TA,MZTF.TA
FIBI.TA,DSCT.TA
FIBI.TA,LUMI.TA
FIBI.TA,POLI.TA
FIBI.TA,PHOE.TA
FIBI.TA,MGDL.TA
FIBI.TA,HARL.TA
FIBI.TA,CLIS.TA
FIBI.TA,AMOT.TA
FIBIH.TA,FIBI.TA
FIBIH.TA,MZTF.TA
FIBIH.TA,LUMI.TA
FIBIH.TA,DSCT.TA
FIBIH.TA,POLI.TA
FIBIH.TA,PHOE.TA
FIBIH.TA,SLARL.TA
FIBIH.TA,ELCO.TA
FIBIH.TA,ASHG.TA
FIBIH.TA,MGDL.TA
FORTY.TA,MTRX.TA
FORTY.TA,SPNS.TA
FORTY.TA,ELCO.TA
FORTY.TA,ISCN.TA
FOX.TA,RTLS.TA
GCT.TA,NSTR.TA
GVYM.TA,AMOT.TA
GVYM.TA,PTBL.TA
GVYM.TA,ACRO.TA
GVYM.TA,AZRG.TA
GVYM.TA,MVNE.TA
GVYM.TA,MLSR.TA
GVYM.TA,BIG.TA
GVYM.TA,RIT1.TA
GFC-M.TA,FEAT.TA
HGG.TA,AZRM.TA
HGG.TA,ISCN.TA
HGG.TA,PRSK.TA
HGG.TA,DIMRI.TA
HGG.TA,ASHG.TA
HGG.TA,BIG.TA
HGG.TA,ACRO.TA
HGG.TA,ILDC.TA
HGG.TA,AFRE.TA
HGG.TA,MGOR.TA
HARL.TA,PHOE.TA
HARL.TA,MGDL.TA
HARL.TA,MMHD.TA
HARL.TA,CLIS.TA
HARL.TA,FIBI.TA
HARL.TA,LUMI.TA
HARL.TA,FIBIH.TA
HARL.TA,DSCT.TA
HLAN.TA,MTRX.TA
ICL.TA,ILCO.TA
IES.TA,BIG.TA
INFR-M.TA,AUSA-M.TA
ISCN.TA,AZRM.TA
ISCN.TA,ACRO.TA
ISCN.TA,BIG.TA
ISCN.TA,ILDC.TA
ISCN.TA,ASHG.TA
ISCN.TA,SLARL.TA
ISCN.TA,ELCRE.TA
ISCN.TA,AFRE.TA
ISCN.TA,HGG.TA
ISCN.TA,MGOR.TA
ILDC.TA,BIG.TA
ILDC.TA,SLARL.TA
ILDC.TA,AZRM.TA
ILDC.TA,LVPR.TA
ILDC.TA,ASHG.TA
ILDC.TA,BLSR.TA
ILDC.TA,ISCN.TA
ILDC.TA,ACRO.TA
ILDC.TA,ELCO.TA
ILDC.TA,ISRS.TA
ISRS.TA,SLARL.TA
ISRS.TA,BIG.TA
ISRS.TA,RIT1.TA
ISRS.TA,AZRM.TA
ISRS.TA,AMOT.TA
ISRS.TA,MLSR.TA
ISRS.TA,EQTL.TA
ISRS.TA,ILDC.TA
ISRS.TA,ALHE.TA
ISRS.TA,MVNE.TA
KARE.TA,AZRM.TA
KARE.TA,ZMH.TA
KARE.TA,AFRE.TA
KARE.TA,ISCN.TA
KARE.TA,HGG.TA
KARE.TA,AURA.TA
KARE.TA,BIG.TA
KARE.TA,LEVI.TA
KARE.TA,SRFT.TA
KEN.TA,OPCE.TA
LHIS.TA,AUIS.TA
LUMI.TA,POLI.TA
LUMI.TA,DSCT.TA
LUMI.TA,MZTF.TA
LUMI.TA,FIBI.TA
LUMI.TA,FIBIH.TA
LUMI.TA,PHOE.TA
LUMI.TA,SLARL.TA
LUMI.TA,AMOT.TA
LUMI.TA,RIT1.TA
LUMI.TA,HARL.TA
LEVI.TA,LVPR.TA
LEVI.TA,KARE.TA
LVPR.TA,ILDC.TA
LVPR.TA,SLARL.TA
LVPR.TA,BIG.TA
LVPR.TA,LEVI.TA
LVPR.TA,AZRM.TA
LVPR.TA,ISCN.TA
LVPR.TA,SMT.TA
LVPR.TA,ADGR.TA
LVPR.TA,BLSR.TA
MTRX.TA,FORTY.TA
MTRX.TA,HLAN.TA
MTRX.TA,ELCO.TA
MDTR.TA,AZRM.TA
MDTR.TA,SLARL.TA
MGOR.TA,BIG.TA
MGOR.TA,ASHG.TA
MGOR.TA,DIMRI.TA
MGOR.TA,RIT1.TA
MGOR.TA,AZRM.TA
MGOR.TA,SLARL.TA
MGOR.TA,MVNE.TA
MGOR.TA,ACRO.TA
MGOR.TA,AMOT.TA
MGOR.TA,ISCN.TA
MLSR.TA,AZRG.TA
MLSR.TA,AMOT.TA
MLSR.TA,BIG.TA
MLSR.TA,MVNE.TA
MLSR.TA,ALHE.TA
MLSR.TA,SLARL.TA
MLSR.TA,RIT1.TA
MLSR.TA,ARPT.TA
MLSR.TA,ACRO.TA
MLSR.TA,ASHG.TA
MNRT.TA,SLARL.TA
MNRT.TA,RIT1.TA
MNRT.TA,AMOT.TA
MNRT.TA,MLSR.TA
MNRT.TA,MGOR.TA
MNRT.TA,BIG.TA
MNRT.TA,MVNE.TA
MNRT.TA,AZRM.TA
MNRT.TA,CRSR.TA
MNRT.TA,BLSR.TA
MMHD.TA,HARL.TA
MMHD.TA,MGDL.TA
MMHD.TA,PHOE.TA
MMHD.TA,CLIS.TA
MMHD.TA,SLARL.TA
MMHD.TA,EQTL.TA
MMHD.TA,FIBIH.TA
MGDL.TA,CLIS.TA
MGDL.TA,HARL.TA
MGDL.TA,MMHD.TA
MGDL.TA,PHOE.TA
MGDL.TA,FIBI.TA
MGDL.TA,POLI.TA
MGDL.TA,SLARL.TA
MGDL.TA,FIBIH.TA
MGDL.TA,MZTF.TA
MGDL.TA,MLSR.TA
MSHR.TA,SKLN.TA
MVNE.TA,MLSR.TA
MVNE.TA,AMOT.TA
MVNE.TA,BIG.TA
MVNE.TA,AZRG.TA
MVNE.TA,ALHE.TA
MVNE.TA,ARPT.TA
MVNE.TA,SLARL.TA
MVNE.TA,RIT1.TA
MVNE.TA,AZRM.TA
MVNE.TA,MGOR.TA
MZTF.TA,FIBI.TA
MZTF.TA,DSCT.TA
MZTF.TA,POLI.TA
MZTF.TA,LUMI.TA
MZTF.TA,FIBIH.TA
MZTF.TA,SLARL.TA
MZTF.TA,BIG.TA
MZTF.TA,MVNE.TA
MZTF.TA,PHOE.TA
MZTF.TA,AMOT.TA
MYDS.TA,BULL-M.TA
NFTA.TA,EQTL.TA
NAWI.TA,SLARL.TA
NTO.TA,NTML.TA
NTML.TA,NTO.TA
NWMD.TA,DLEKG.TA
NSTR.TA,GCT.TA
NSTR.TA,SLARL.TA
NVMI.TA,CAMT.TA
NVMI.TA,PRTC.TA
OPCE.TA,KEN.TA
PTNR.TA,CEL.TA
PTX.TA,BRAM.TA
PHOE.TA,HARL.TA
PHOE.TA,MMHD.TA
PHOE.TA,MGDL.TA
PHOE.TA,CLIS.TA
PHOE.TA,FIBIH.TA
PHOE.TA,FIBI.TA
PHOE.TA,LUMI.TA
PHOE.TA,MVNE.TA
PHOE.TA,ELCO.TA
PHOE.TA,DSCT.TA
PLNT.TA,SHMM.TA
PLNT.TA,AICS-M.TA
PLCR.TA,ARTS.TA
POLI.TA,LUMI.TA
POLI.TA,DSCT.TA
POLI.TA,MZTF.TA
POLI.TA,FIBI.TA
POLI.TA,FIBIH.TA
POLI.TA,SLARL.TA
POLI.TA,MGDL.TA
POLI.TA,BIG.TA
POLI.TA,MLSR.TA
POLI.TA,PHOE.TA
PRSK.TA,AZRM.TA
PRSK.TA,ACRO.TA
PRSK.TA,DIMRI.TA
PRSK.TA,HGG.TA
PRSK.TA,AFRE.TA
PRSK.TA,ISCN.TA
PRSK.TA,ASHG.TA
PRSK.TA,CRSR.TA
PRSK.TA,MGOR.TA
PRSK.TA,AURA.TA
PRTC.TA,CAMT.TA
PRTC.TA,NVMI.TA
PTBL.TA,MGOR.TA
PTBL.TA,GVYM.TA
PTBL.TA,ISCN.TA
PTBL.TA,BIG.TA
PTBL.TA,ACRO.TA
PTBL.TA,ILDC.TA
PTBL.TA,MVNE.TA
PTBL.TA,AZRM.TA
PTBL.TA,ALHE.TA
PTBL.TA,SLARL.TA
RANI.TA,SLARL.TA
RIT1.TA,SLARL.TA
RIT1.TA,AMOT.TA
RIT1.TA,MLSR.TA
RIT1.TA,ALHE.TA
RIT1.TA,MVNE.TA
RIT1.TA,BIG.TA
RIT1.TA,ARPT.TA
RIT1.TA,AZRG.TA
RIT1.TA,ASHG.TA
RIT1.TA,MGOR.TA
RTLS.TA,FOX.TA
SRAC.TA,SHOM.TA
SPNS.TA,FORTY.TA
SRFT.TA,KARE.TA
SLARL.TA,RIT1.TA
SLARL.TA,AMOT.TA
SLARL.TA,MLSR.TA
SLARL.TA,BIG.TA
SLARL.TA,MVNE.TA
SLARL.TA,ALHE.TA
SLARL.TA,MNRT.TA
SLARL.TA,ASHG.TA
SLARL.TA,ISRS.TA
SLARL.TA,ARPT.TA
SHMM.TA,AICS-M.TA
SHMM.TA,PLNT.TA
SHMM.TA,STEC.TA
SPEN.TA,ELTR.TA
SPEN.TA,ASHG.TA
SPEN.TA,ELCO.TA
SPEN.TA,ARPT.TA
SKBN.TA,ASHG.TA
SKBN.TA,BIG.TA
SKBN.TA,MVNE.TA
SKBN.TA,SLARL.TA
SKBN.TA,ALHE.TA
SKBN.TA,ARPT.TA
SKBN.TA,MZTF.TA
SKBN.TA,AZRM.TA
SKBN.TA,DSCT.TA
SKBN.TA,MGOR.TA
SHOM.TA,SRAC.TA
SKLN.TA,MSHR.TA
SMT.TA,AZRM.TA
SMT.TA,BIG.TA
SMT.TA,BLSR.TA
SMT.TA,SLARL.TA
SMT.TA,ASHG.TA
SMT.TA,ACRO.TA
SMT.TA,MGOR.TA
SMT.TA,ILDC.TA
SMT.TA,EQTL.TA
SMT.TA,RIT1.TA
STEC.TA,SHMM.TA
STEC.TA,AICS-M.TA
ILCO.TA,ICL.TA
UNCT.TA,AVRT.TA
UPSL.TA,AVRT.TA
VTNA.TA,BIG.TA
ZMH.TA,KARE.TA
ZMH.TA,AZRM.TA
ZUR.TA,SLARL.TA
ZUR.TA,MGDL.TA
