Company,Model,MSE,MAE,R2,MAPE,Composite_Score
AMDA.TA,ARIMA,11.70750869,1.850122582,0.893191829,1.054524679,-0.791304666
AMOT.TA,ARIMA,799.7015134,22.90672269,0.941813933,1.397957156,-0.742252851
AMRK.TA,ARIMA,1439.484024,26.98328795,0.985619202,1.185036422,-0.78985436
AMRM.TA,ARIMA,1217.195869,26.72278804,0.604324728,0.997088227,-0.693661464
AMX.TA,ARIMA,1.496896555,0.782715098,0.965342173,2.854488532,-0.521682599
ANGL.TA,ARIMA,4501.035004,39.87621727,0.96362261,1.078088629,-0.794327097
APLP.TA,ARIMA,595.0787682,17.21222828,0.892781179,2.874154493,-0.487171822
AQUA.TA,LSTM,13630.87392,85.0471714,-22.10937564,0.603970773,-0.986237118
ARAD.TA,GRU,150621387.1,8792.289682,-24.11370924,0.885754786,-0.75383496
ARAN.TA,ARIMA,468.4610334,12.00843303,0.95831748,0.593012146,-0.884005372
ARBE.TA,GRU,3760.604564,48.61610514,-25.37690826,0.076145796,-0.998695286
ARD.TA,ARIMA,7619.108387,62.53168067,0.967121573,1.219794786,-0.762438757
ARDM.TA,ARIMA,16.30639146,2.761710757,0.956729885,3.799120795,-0.363601115
ARF.TA,GRU,1769157.106,859.4175692,-22.40536992,0.15175191,-0.979405577
ARGO.TA,ARIMA,23384.39035,106.4113582,0.972998029,1.347375404,-0.724061894
ARIN.TA,ARIMA,18.97519733,3.100582775,0.946135975,1.351613805,-0.759856065
ARPT.TA,ARIMA,9905.340336,79.03781513,0.897258009,1.388935092,-0.704313976
ARTS.TA,ARIMA,5.612369942,1.223121387,0.859621261,2.78447323,-0.497712964
ARYT.TA,ARIMA,210.2456712,10.37543697,0.964990466,2.497172543,-0.575796805
ASGR.TA,ARIMA,96.81980245,7.103395539,0.969053725,1.17106059,-0.795260277
ASHG.TA,ARIMA,14397.43098,97.05705057,0.916235335,1.890513013,-0.620738277
ASHO.TA,LSTM,1657885.006,1088.157173,-1.951186684,0.250137436,-0.969318104
AUDC.TA,LSTM,24641.70066,119.8736979,0.734909026,0.033899717,-0.996732926
AUGN.TA,ARIMA,166.2687479,8.783458975,0.958411148,3.54453315,-0.403152644
AUIS.TA,ARIMA,1145.165891,19.40382946,0.956911346,1.843432094,-0.675993962
AURA.TA,ARIMA,906.5883021,24.24617093,0.985995107,1.816457163,-0.688004303
AUSA-M.TA,ARIMA,9.997331176,0.595135698,0.910537697,0.397101193,-0.905051241
AVER.TA,ARIMA,2573.979452,30.82693786,0.961488142,2.452817979,-0.572956594
AVGD.TA,ARIMA,752.7207151,19.92436254,0.970558261,1.427996774,-0.748211419
AVGL.TA,LSTM,101.2389328,9.411420434,-0.205057882,0.073037582,-0.998554188
AVIA.TA,ARIMA,551.7418981,15.28910862,0.9818555,1.186504089,-0.793446772
AVIV.TA,ARIMA,571.1852032,15.50268849,0.958945456,1.164340985,-0.789343069
AVRT.TA,ARIMA,3.704663866,0.571848739,0.868335931,0.976100828,-0.796391977
AYAL.TA,ARIMA,1213.503284,25.79440281,0.962581571,1.400147406,-0.747551243
AZRG.TA,ARIMA,223346.0699,368.9258824,0.927532987,1.546375757,-0.556387562
AZRM.TA,ARIMA,1239.838425,27.90823847,0.945374342,1.707454317,-0.690688856
AZRT.TA,LSTM,11264.26026,54.01424789,-1.514305791,0.145721149,-0.996070496
BBLS.TA,ARIMA,1.096151986,0.799176767,0.917008585,2.364739372,-0.585600333
BCNV-M.TA,LSTM,122392366.4,7772.312871,0.239937706,18.89605514,-0.411885159
BCOM.TA,ARIMA,642.4478894,19.54142051,0.94892148,1.503797652,-0.728786426
BCUR.TA,ARIMA,0.440693742,0.317925935,0.983045906,0.97478203,-0.834931776
BEZQ.TA,ARIMA,32.35485422,4.539219288,0.923966265,1.033420113,-0.803841792
BHNY.TA,LSTM,221978.3968,420.7198739,-74.50384662,1.735324204,-0.955825581
BIG.TA,ARIMA,436287.0623,526.1845861,0.93367557,1.392429937,-0.508676644
BIGT.TA,ARIMA,13.62554821,1.917448462,0.939012498,1.054893369,-0.806479902
BIMT.TA,GRU,18.17982194,4.106558297,-6.040946068,0.177517804,-0.999525916
BIOV.TA,GRU,611700.021,392.757531,-144633.5494,14.49184189,-0.78121789
BIRM.TA,ARIMA,1478.586006,18.23632353,0.898486795,1.771541785,-0.668771664
BKFR.TA,LSTM,3908.255441,49.03200531,0.695951714,0.039599752,-0.998286441
BKRY.TA,ARIMA,17.17944118,2.844213991,0.981541335,1.07071449,-0.817661794
BLGO.TA,ARIMA,281.5601624,10.10451961,0.820984894,1.309541464,-0.72200065
BLITZ-M.TA,ARIMA,424.6488396,10.56388431,0.990106193,2.448728686,-0.591991278
BLRN.TA,ARIMA,27.31005236,3.178010471,0.972455083,4.262419369,-0.292954866
BLRX.TA,ARIMA,0.862983193,0.625630252,0.990327109,2.631823558,-0.566458215
BLSR.TA,ARIMA,371259.7643,475.3062859,0.941432541,1.907516999,-0.45120513
BOLT.TA,ARIMA,272.9371429,9.880672269,0.885241837,2.140638543,-0.607700196
BONS.TA,LSTM,7.114888279,2.514084956,-1.493192525,0.205689465,-0.996101071
BOTI.TA,ARIMA,4691.211532,50.84996056,0.953244743,1.595157547,-0.701627139
BRAM.TA,ARIMA,6.590425056,1.282922602,0.832275298,0.852243691,-0.804309832
BRAN.TA,ARIMA,210.6453782,10.39747899,0.988247508,0.996895769,-0.828685337
BRIH.TA,ARIMA,1.723943425,0.918422013,0.983219719,1.341283822,-0.774842328
BRIL.TA,ARIMA,1138.459892,23.29987335,0.98413472,2.013860662,-0.655529863
BRKT.TA,GRU,51.26415939,5.682485962,0.866087778,0.034503621,-0.999804899
BRMG.TA,ARIMA,575.7067881,17.18041528,0.96071169,1.385030193,-0.753144416
BRND.TA,ARIMA,23.19230873,3.331092857,0.944402354,1.405933849,-0.750302628
BSEN.TA,GRU,125658711.4,10584.41258,-7.32773345,0.404059556,-0.720678751
BULL-M.TA,ARIMA,7.20465971,1.229416235,0.934674929,6.119825702,0.022294249
BVC.TA,ARIMA,3.590588235,1.352941176,0.934415375,1.423801217,-0.744912097
BVGG.TA,ARIMA,206.399908,9.835398262,0.914670639,1.452474246,-0.729974168
BWAY.TA,ARIMA,793.1559701,15.09306284,0.985508383,1.258168885,-0.783030378
CAMT.TA,GRU,91443662.57,7742.326132,-1.121361619,0.216831426,-0.7959899
CANF.TA,ARIMA,0.019900034,0.083413931,0.918338697,2.578588147,-0.551409415
CAST.TA,ARIMA,14569.77731,87.26470588,0.993211022,1.574075183,-0.702318122
CBI.TA,LSTM,12.23417183,2.481371887,-0.109865615,0.064484749,-0.998885239
CDEV.TA,ARIMA,26134.18055,121.1951341,0.91487741,1.150497142,-0.730387631
CEL.TA,ARIMA,958.4860008,23.96147888,0.937925935,1.613834507,-0.705221235
CFX.TA,ARIMA,48.99411243,4.433647813,0.962760315,1.278675307,-0.776735206
CGEN.TA,ARIMA,1742.083782,24.60840336,0.950635383,3.445798762,-0.409800984
CILO.TA,ARIMA,44733.33801,101.6571155,0.979639955,4.880315338,-0.15034421
CION.TA,ARIMA,0.00000311,0.000494578,0.873968604,0.0000153,-0.958011292
CISY.TA,ARIMA,1670.179486,24.85945378,0.956542348,1.615610113,-0.710721537
CLAB.TA,ARIMA,2235.276444,19.16222222,0.963850478,1.618052521,-0.715202577
CLIS.TA,ARIMA,12816.13084,88.56975287,0.91902742,1.479809531,-0.692500456
CMCT.TA,ARIMA,1461.190269,13.75306873,0.986837742,2.050089023,-0.654628675
CMDR.TA,ARIMA,127675.7587,258.0022459,0.970338029,1.082061785,-0.697590189
CMER.TA,ARIMA,2327.530324,33.54518025,0.9782134,2.450148817,-0.577797037
CNGL.TA,ARIMA,392.7403581,7.728523084,0.967151222,1.791283559,-0.693000032
CNTC.TA,LSTM,242383.5772,340.8170529,-18.17882152,45.25594659,-0.101997411
CNTL-M.TA,LSTM,1538.121912,34.01500183,-31.00431808,0.466905351,-0.990091953
CNZN.TA,ARIMA,50.54229334,3.111774335,0.916668911,1.712073737,-0.69113321
CPIA.TA,ARIMA,3.957862069,1.396551724,0.695980266,2.772493732,-0.445080281
CPTP.TA,ARIMA,0.532648954,0.301687063,0.97192956,0.547457936,-0.901061693
CRML.TA,LSTM,50437.38923,197.4715229,-0.715674208,0.109880405,-0.993406488
CRMT.TA,ARIMA,392.3989851,9.282896651,0.974890942,0.942887355,-0.833537018
CRSM.TA,ARIMA,766.699602,21.1995935,0.985026987,1.303096885,-0.772888636
CRSR.TA,ARIMA,3735.425333,48.88283825,0.907462738,1.884698275,-0.639945131
CTPL1.TA,LightGBM,200589182,6208.513485,-0.237847558,22.56256949,-0.756205188
CTPL5.TA,LSTM,3540580744,42677.30821,-0.768025334,3.507773105,1.06878293
DANE.TA,ARIMA,339380.7862,436.34981,0.903218544,1.351826903,-0.547156966
DANH.TA,LSTM,220173.0628,244.9507354,-36.16341395,0.103798906,-0.99220581
DELG.TA,ARIMA,99789.6347,242.3959882,0.848233227,1.50085226,-0.596133786
DIFI.TA,ARIMA,1301297.751,782.1195631,0.907619206,1.569260922,-0.332373379
DIMRI.TA,ARIMA,260549.2736,395.5986764,0.968932038,1.425956118,-0.577114984
DIPL.TA,ARIMA,1552.977118,31.00628087,0.908372186,0.987718583,-0.794619278
DISI.TA,ARIMA,55.26578461,5.316909057,0.934252899,1.468044496,-0.73591253
DLEA.TA,ARIMA,2719.726891,38.97058824,0.883168261,1.824195314,-0.646057677
DLEKG.TA,ARIMA,555506.429,600.567603,0.892069731,1.458419247,-0.448000003
DLTI.TA,ARIMA,10196.29103,64.70847973,0.977034235,1.184204486,-0.770531686
DNA.TA,ARIMA,5.44210084,1.532773109,0.949055635,2.001840638,-0.655257935
DNYA.TA,ARIMA,22974.69098,119.1079444,0.926617869,1.457102477,-0.685203569
DORL.TA,ARIMA,731.3489638,19.99354973,0.984537019,1.97398895,-0.663622114
DRAL.TA,ARIMA,11878.62124,74.82832274,0.932803192,1.042647302,-0.774496518
DRSH.TA,ARIMA,230.0606061,11.87878788,0.915940029,0.960032114,-0.809979289
DSCT.TA,ARIMA,933.744708,24.80012605,0.936401199,1.333998877,-0.750077484
DUNI.TA,ARIMA,162302.6433,317.3908068,0.925035752,1.636270134,-0.565132741
ECNR.TA,ARIMA,74.20943128,5.697156398,0.969163489,2.216905616,-0.625011145
ECP.TA,ARIMA,33292.74353,137.2818555,0.911689126,1.814017591,-0.613715033
ECPA-M.TA,LSTM,0.598431662,0.508372683,0.352128932,0.055998498,-0.999100461
EFCP.TA,ARIMA,260.5294118,11.05882353,0.760958857,0.944970041,-0.761163799
EFNC-M.TA,ARIMA,74.81627692,4.650726583,0.993424361,1.220420967,-0.796374839
ELAL.TA,ARIMA,239.3217647,11.64453782,0.983382121,2.436378823,-0.591307902
ELCO.TA,ARIMA,51316.43022,180.6478571,0.920099359,1.622611323,-0.628454716
ELCP.TA,ARIMA,1196.212843,26.02398984,0.979613462,1.254657914,-0.776899975
ELCRE.TA,ARIMA,6273.077097,59.83139519,0.908446407,1.585761919,-0.68430292
ELDAV-M.TA,ARIMA,24.23993662,2.271803997,0.954884863,1.05022656,-0.812376592
ELLO.TA,LSTM,69323.45884,200.8572352,0.728349256,0.03805528,-0.994740964
ELMR.TA,ARIMA,301.3610996,11.66501742,0.905065999,1.197561711,-0.767633728
ELRN.TA,LSTM,3527.036653,33.89488133,-1.774296547,0.081840132,-0.99779933
ELSPC.TA,ARIMA,147.6583932,8.249038454,0.950589249,1.548103314,-0.727001899
ELTR.TA,ARIMA,8223754.474,2312.342479,0.902044454,1.635632433,0.566536854
ELWS.TA,ARIMA,414343.9969,461.5878845,0.982384361,3.135827868,-0.268673458
EMCO.TA,ARIMA,238.3401544,11.2343851,0.98600214,1.371684753,-0.766332714
EMDV.TA,ARIMA,1382.045312,26.9452521,0.912016531,1.209550678,-0.761347027
EMITF-M.TA,ARIMA,125.4361112,6.586008413,0.891955495,1.622531149,-0.696026859
EMTC-M.TA,ARIMA,1.548991597,0.679831933,0.969552895,3.170096349,-0.471558473
ENDY.TA,ARIMA,31.84657438,2.487983604,0.980991721,0.855021334,-0.85287726
ENLT.TA,ARIMA,3.718361345,1.363445378,0.975995592,2.278140481,-0.619157654
ENLV.TA,ARIMA,4926.789999,31.04409172,0.954771423,3.789681957,-0.352100749
ENOG.TA,ARIMA,9932.710675,75.35411765,0.904782592,1.656775335,-0.664646888
ENRG.TA,ARIMA,137.5345329,8.801371141,0.848781166,1.409389062,-0.715513477
EPIT.TA,LSTM,103587.9087,270.4747473,-1.002878648,0.313759428,-0.987669769
EQTL.TA,ARIMA,66845.20332,209.0958105,0.903410885,1.877105936,-0.56850372
ESLT.TA,ARIMA,1042962.671,760.9785714,0.925667107,1.026520619,-0.444590014
ETGA.TA,ARIMA,232.5797882,11.01823985,0.990053137,1.005292544,-0.827645635
EVGN.TA,ARIMA,9587.545226,66.13640387,0.982216839,2.831149274,-0.502544138
EXPO.TA,ARIMA,2602.138791,34.87997031,0.97401721,0.798413067,-0.845712122
FBRT.TA,LSTM,752357.6202,700.3055529,0.118192259,0.051822009,-0.982571614
FEAT.TA,ARIMA,45.43361274,2.343541039,0.517750918,1.84038145,-0.537604489
FGAS.TA,ARIMA,324.3066214,11.56796668,0.969598156,1.16259874,-0.794886211
FIBI.TA,ARIMA,50855.37663,182.3794538,0.865491359,1.263759278,-0.668166377
FIBIH.TA,ARIMA,54028.25747,184.4814286,0.872341071,1.22481971,-0.675799242
FLYS.TA,LSTM,281.7960145,13.76924382,-6.9618447,0.25278894,-0.994886272
FORTY.TA,ARIMA,249049.2607,380.1639076,0.965336911,1.408370285,-0.585838701
FOX.TA,ARIMA,328091.6324,471.1693624,0.948188642,1.794238378,-0.475154647
FRDN.TA,ARIMA,15242.19859,79.37522311,0.951604302,1.578997131,-0.69104313
FRSX.TA,ARIMA,0.485227903,0.324860905,0.953842336,2.287736195,-0.610658818
FTAL.TA,ARIMA,644635.8769,629.1377895,0.93397235,1.491929756,-0.441238344
G107.TA,LSTM,143.602046,9.245101929,-15.68218859,0.199716682,-0.995996808
GAGR.TA,ARIMA,26.34201841,3.269598374,0.962257657,1.107482919,-0.805045301
GAON-M.TA,LSTM,827620.4523,670.9519282,-0.544759801,2.719211632,-0.930773872
GCT.TA,ARIMA,700.3497005,20.57913313,0.952966637,1.812912141,-0.679173036
GEFR.TA,ARIMA,1.923521865,1.021032002,0.962160283,1.943200079,-0.669427092
GFC-M.TA,LSTM,18541.64265,83.74704461,0.926112424,2.619523018,-0.94672887
GIBUI.TA,LSTM,0.010434515,0.082654472,0,0.108328271,-0.998079645
GILT.TA,LSTM,772.2773639,23.16556307,0.976050865,0.012666498,-0.999424398
GIVO.TA,ARIMA,0.378699395,0.424388896,0.96612841,1.517103713,-0.740632679
GIX.TA,ARIMA,2.100305264,0.800588513,0.982406105,3.038438496,-0.497301474
GKL.TA,LSTM,10.00195262,1.924963168,0.8898026,0.028091769,-0.999618549
GLEN-M.TA,ARIMA,0.03810377,0.088206538,0.955334242,2.593260227,-0.56133454
GLRS.TA,ARIMA,197179.518,300.8112679,0.868299795,0.761591613,-0.695196386
GLTC.TA,ARIMA,1.419857925,0.795640117,0.925304075,3.462592831,-0.408972475
GLTL.TA,ARIMA,6.456932773,1.544957983,0.932634548,2.762413159,-0.52550203
GMLA.TA,ARIMA,356.660119,4.682142857,0.964120721,1.013295871,-0.820434858
GNCL.TA,LSTM,3485.197959,54.71448528,-171.0116298,1.002073078,-0.978449613
GNGR.TA,ARIMA,343.1957481,12.18575851,0.963400066,1.34867103,-0.762148765
GNRS.TA,ARIMA,2.119272989,1.087588612,0.951745433,1.831864407,-0.68412133
GOHO.TA,LSTM,111974.5186,275.1684203,-5.076952328,0.133079067,-0.99109261
GOLD.TA,ARIMA,37974.16509,128.172377,0.862801376,1.018027089,-0.731283838
GOLF.TA,ARIMA,58.72633986,5.097758037,0.990829616,1.373703588,-0.770270732
GOSS.TA,ARIMA,66.63279052,5.324365494,0.972526457,1.133164348,-0.803379895
GOTO.TA,ARIMA,180.0308829,8.891156109,0.965075901,1.831203163,-0.685289766
GPGB-M.TA,LSTM,14690.22403,44.81475833,0.907457737,0.930358987,-0.98086402
GRAC.TA,ARIMA,658.5089034,10.06810538,0.985705147,0.784301611,-0.862704894
GRIN.TA,ARIMA,327.5490342,11.19648312,0.885331399,1.264813975,-0.750271889
GSFI.TA,ARIMA,2251.647726,30.84495379,0.996538271,1.297491993,-0.773419957
GUID.TA,ARIMA,61.05723746,3.424718711,0.95138714,0.50659893,-0.899542152
GVYM.TA,ARIMA,2082.804372,35.52487395,0.941037116,1.311376298,-0.750643194
HAMAT.TA,GRU,3375.76565,47.10939187,0.933367995,0.038372631,-0.998843505
HARL.TA,ARIMA,3618.7743,47.54247899,0.967874628,1.521715483,-0.719966737
HDHA.TA,ARIMA,0.38963319,0.289858579,0.898347208,0.49120593,-0.885745415
HDST-M.TA,ARIMA,12.22130082,1.183326258,0.951531377,2.173068038,-0.628254474
HGG.TA,ARIMA,1176.769225,25.19790485,0.955577868,1.656052657,-0.703661414
HGGE.TA,ARIMA,101.3859471,6.625394875,0.919505654,1.336446354,-0.751935856
HICN.TA,XGBoost,133440.1609,300.9330298,-517.510207,287.6123688,-0.946672835
HIPR.TA,LSTM,12056.276,89.8363444,-0.722559417,0.057059057,-0.996978245
HIVE.TA,ARIMA,0,0,1,0,-1
HLAN.TA,ARIMA,91035.58662,229.885157,0.92422674,1.149937978,-0.684485057
HLMS.TA,ARIMA,59.21810103,5.915339863,0.92712206,1.297160738,-0.761201019
HMAM.TA,ARIMA,116.5221136,5.192642523,0.968066817,1.281081902,-0.777779338
HMGS.TA,ARIMA,59.26420495,4.537922224,0.995882097,1.797173839,-0.702999546
HOD.TA,ARIMA,4029.009498,40.28406752,0.962241384,1.092618949,-0.791331578
HRON.TA,LSTM,354337984.7,9536.265498,0.171051122,0.678248631,-0.663343373
HUMX.TA,ARIMA,5.613286313,0.870321775,0.973982076,1.671900493,-0.717761712
IARG.TA,XGBoost,0.484650311,0.475109212,-0.815308398,46.00051738,-0.999679181
ICL.TA,ARIMA,929.8593038,23.72936975,0.935057355,1.405184196,-0.738461064
ICON.TA,ARIMA,37.50284895,4.137694666,0.952962137,0.949128673,-0.827448433
IDIN.TA,ARIMA,27939.52524,133.9408621,0.980433886,1.38252032,-0.708743121
IDMO.TA,LSTM,5514.518824,63.98203382,-3.066273366,0.178442665,-0.995188005
IDNT.TA,ARIMA,634.9576364,11.10969697,0.917559526,4.009805581,-0.312495091
IES.TA,ARIMA,120377.8163,270.4958649,0.958211325,1.2697639,-0.65771276
IGLD.TA,LightGBM,6218.689952,70.85611471,-4108.141779,1253.863496,-0.926431179
ILCO.TA,ARIMA,2915078.882,1348.468025,0.923528933,1.57751024,-0.03907832
ILDC.TA,ARIMA,4803.397575,55.3520472,0.880737077,1.77792655,-0.645656311
ILDR.TA,ARIMA,217.474088,10.49591726,0.982636634,1.664488032,-0.717686533
ILX.TA,XGBoost,71735.01906,211.6685706,0.719651132,3.261387748,-0.994598304
IMCO.TA,ARIMA,6838.928313,56.5975586,0.979380413,2.161830567,-0.615182435
IMED.TA,LightGBM,62957169.07,6987.747061,-59574.15654,76385.23878,0.374373549
INCR.TA,ARIMA,815.4259298,19.69844535,0.982252589,2.55401342,-0.568208037
INFR-M.TA,ARIMA,30842601.68,1683.361345,0.811383475,5.166396005,1.635031579
ININ.TA,ARIMA,41.51320756,4.183131502,0.92493737,1.606670565,-0.71064796
INRM.TA,LSTM,5067.762435,48.61756909,0.915721903,0.036089168,-0.99836586
INTO.TA,ARIMA,90.26470588,6.24789916,0.981656371,2.288996521,-0.617154422
INTR.TA,ARIMA,8414.416191,34.71105042,0.79952376,0.57601114,-0.82380734
ISCN.TA,ARIMA,919.6484587,24.40184746,0.959740882,1.919522087,-0.662349092
ISHI.TA,ARIMA,12098.04292,84.60248069,0.955788477,1.316663597,-0.733144572
ISI.TA,ARIMA,714.2776748,17.17362799,0.942577111,1.387562177,-0.746687785
ISOP.TA,ARIMA,5.178302998,1.583527989,0.87379856,2.146416042,-0.60654081
ISRA.TA,ARIMA,6.683318584,1.963717395,0.9187581,1.289543765,-0.761369925
ISRG.TA,ARIMA,5.026758191,1.688370327,0.960568535,1.197334902,-0.790484986
ISRO.TA,ARIMA,17063.82441,93.19932627,0.958984667,1.225585821,-0.74521295
ISRS.TA,ARIMA,1120583.214,846.629401,0.846413116,1.191472167,-0.351676384
ISTA.TA,ARIMA,24792.32443,121.3237975,0.955879193,1.785367169,-0.640294908
JBNK.TA,LSTM,38178.39881,121.3548475,-0.076331398,0.078997682,-0.995803767
JCFN.TA,ARIMA,951.0086149,22.20306754,0.969315394,1.355437988,-0.758661838
JNGO.TA,ARIMA,254.7553698,7.957785106,0.828191589,2.42893106,-0.542418727
KAFR.TA,ARIMA,1017.691991,21.50882827,0.992509504,1.116077119,-0.805799141
KARE.TA,LSTM,2082.294178,37.6585614,-0.069126205,0.075655414,-0.997840876
KDST.TA,ARIMA,1003.024043,15.66121187,0.889206627,2.505515281,-0.546875408
KEN.TA,ARIMA,24700.6275,118.3212332,0.973530254,1.385242322,-0.712858375
KLIL.TA,ARIMA,99987.65432,228.0246914,0.834578778,1.166590361,-0.652413085
KMDA.TA,ARIMA,1155.787879,24.72727273,0.826622463,1.225957932,-0.731184446
KNFM.TA,ARIMA,338.9164969,12.53783985,0.979558012,1.280749994,-0.778478012
KRDI.TA,ARIMA,7.717763795,1.873058721,0.946029351,0.857337397,-0.841118186
KRUR.TA,ARIMA,6986.095243,58.48273109,0.832588361,0.89747206,-0.772060627
KSTN.TA,ARIMA,34.00430096,4.441265476,0.943253006,0.881079981,-0.835202156
LAHAV.TA,ARIMA,36.42699419,4.475926956,0.933523873,1.30099975,-0.763329636
LBRA.TA,ARIMA,122.5409554,7.453978132,0.986622884,1.525089183,-0.743111348
LCTX.TA,XGBoost,0.065451934,0.158434372,0.875796338,5.797612874,-0.999908686
LEOF.TA,ARIMA,62.0144163,5.31384104,0.934657093,2.057517423,-0.639726441
LEVI.TA,ARIMA,264721.5871,365.5742965,0.955078828,1.336709605,-0.599932239
LHIS.TA,ARIMA,2274.222392,25.66428955,0.854288371,1.172312881,-0.748725338
LODZ.TA,LSTM,410004.339,309.5553258,0.120999036,7.811848896,-0.839202725
LPHL.TA,ARIMA,2.971147562,0.933544301,0.912872187,0.826812041,-0.83546664
LPSN.TA,ARIMA,1720.164191,24.26834205,0.988636092,4.461423307,-0.256651833
LSCO.TA,ARIMA,42.42249218,4.171576661,0.943140549,1.419783497,-0.747255092
LUDN.TA,ARIMA,537.4902161,15.10568819,0.984603975,1.022373598,-0.821261652
LUMI.TA,ARIMA,2078.089649,37.37128631,0.980122857,1.248026743,-0.773217364
LURO.TA,ARIMA,243.141629,13.11565459,-2.001748506,0.638307977,0.109981564
LUZN.TA,ARIMA,6.901541062,1.997056935,0.993477613,1.055337861,-0.824517524
LVPR.TA,ARIMA,11404.58867,77.84488043,0.956914862,1.264554659,-0.744979478
MAXO.TA,LSTM,9908.284482,81.7183088,0.189623356,0.074649036,-0.99682723
MCLL.TA,ARIMA,100.1269361,6.871425,0.980061564,1.203228668,-0.793771259
MCMN.TA,ARIMA,47136.72123,125.7561206,0.944404261,0.771218966,-0.799546093
MCRNT.TA,ARIMA,13.59240284,2.223224961,0.760718425,1.264703025,-0.712667328
MDIN.TA,ARIMA,26.8243678,3.187454505,0.959772541,1.635850893,-0.717915825
MDPR.TA,ARIMA,99.09114503,6.889726609,0.963167678,1.305228915,-0.771468181
MDTR.TA,ARIMA,193.7755686,11.08110336,0.944269134,1.363510882,-0.753833187
MEDN.TA,ARIMA,56240.33613,159.4957983,0.951576077,1.060584601,-0.739765704
MERARA PARTICIPATION UNIT.TA,ARIMA,18.46522926,1.668391834,0.944396324,0.606462166,-0.881656176
MGDL.TA,ARIMA,71.1833419,6.599441629,0.956664052,1.450806448,-0.745640155
MGIC.TA,LSTM,13693.58207,91.44874635,0.724363757,0.022024809,-0.997635567
MGOR.TA,ARIMA,37070.208,150.5686975,0.944832545,1.726686071,-0.633158138
MGRT.TA,ARIMA,102.0453368,6.929918513,0.924676346,1.729124506,-0.689361775
MIA.TA,LSTM,14.07663455,3.35514692,-1.865864893,0.136363622,-0.997443158
MIFT.TA,ARIMA,74.20943128,5.697156398,0.969163489,2.216905616,-0.625011145
MISH.TA,ARIMA,53697.49117,154.8422269,0.992494207,1.167054692,-0.738094505
MLD.TA,ARIMA,0.289540389,0.191037833,0.991236937,4.512064631,-0.259711594
MLRN.TA,ARIMA,152.5678293,8.349657903,0.910731323,1.538988381,-0.7151694
MLSR.TA,ARIMA,174733.2175,332.7035532,0.906903408,1.268627515,-0.612140969
MLTM.TA,ARIMA,11658.72111,77.64971939,0.968161954,1.426284576,-0.722375275
MMHD.TA,ARIMA,25826.63973,126.1692257,0.961532331,1.351395585,-0.710961601
MNIF.TA,ARIMA,375.3193853,15.03459517,0.97255887,1.285393046,-0.774306701
MNIN.TA,ARIMA,279.1375714,11.28580228,0.957496477,1.357082135,-0.75919892
MNRT.TA,ARIMA,8.045261681,2.26487479,0.908407078,1.400397525,-0.739677435
MPRS.TA,ARIMA,2.480755298,0.556968746,0.95787019,0.694149508,-0.872297609
MRG.TA,ARIMA,190.3625135,8.519989457,0.993737462,1.743489072,-0.709331011
MRHL.TA,ARIMA,9.966638655,1.517647059,0.888203585,1.667927246,-0.689554694
MSBI.TA,ARIMA,3.674172982,1.40202567,0.984911209,1.356562221,-0.772700084
MSHR.TA,ARIMA,130.4525179,7.765897843,0.859591956,1.100737864,-0.769997646
MSKE.TA,ARIMA,48.29796431,5.412047467,0.96347006,2.10575722,-0.641400599
